First Name          |Last Name           |  Age|Score
Christina            Garcia Weiland          66    72
Christina            Gin                     61    75
Christine            Freeman                 48    69
Christine            Jiang                   53    67
Christine            Jones                   25    92
Christine            Wilcock                 21    67
Christopher          Bolwyn                  37    76
Christopher          C. Walker               48    76
Christopher          Dennis Lindsay          20    74
Christopher          Hamilton                63    67
Christopher          Meeker                  33    74
Christopher          R. Carter               22    86
Christopher          Sanchez                 31    91
Chuck                Waite                   30    69
Chuimei              Ho                      22    90
Claire               Faggioli                69    76
Claudia              Chang Sanii             36    93
Clayborn             Welch                   37    86
Cody                 Harrington              39    67
Cody                 Lyon                    64    69
Colby                Donaldson               23    90
Colin                Bohrer                  41    79
Colin                Hayes Thompson          40    78
Collin               Allen                   72    75
Corey                Revilla                 24    80
Cory                 Ander Knox              43    75
Cory                 Omand                   33    95
Courtney             Dingel                  42    87
Coya                 Elliott                 67    77
Craig                Foster                  37    74
Craig                Marshall                36    85
Dainton              Farrell                 70    77
Dainton              Hall                    42    74
Dainton              Scott                   75    76
Dale                 Martin                  30    78
Dallas               Kane                    48    71
Damian               Montano                 34    83
Dan                  Fornero                 28    82
Dana                 Donaldson               71    72
Dana                 Frankoff                31    90
Dana                 Murray                  26    87
Daniel               A. Rodriguez            22    80
Daniel               Campbell                61    68
Daniel               Chong                   44    81
Daniel               Garcia                  63    69
Danielle             Feinberg                38    91
Danny                Barnhart                25    81
Darcy                Parker                  45    68
Darcy                Ryan                    36    81
Darrell              Valor                   40    72
Darrin               Fichera                 44    79
Dave                 Hale                    49    82
Dave                 Strick                  62    67
Dave                 Weckl                   33    82
David                Baraff                  23    80
David                Batte                   29    95
David                Boucher                 20    69
David                G. Yu                   51    70
David                Hayter                  26    72
David                Lally                   36    82
David                Lei                     18    78
David                Luoh                    53    72
David                M. Laur                 47    83
David                Nahman-Ramos            18    72
David                Rejano Cantero          39    85
David                Ryu                     26    79
David                S. Peng                 18    67
David                Sotnick                 37    87
David                Suther                  60    77
David                Walther                 46    70
David                Wehr                    26    75
Deana                Walker                  22    98
Deanie               Hickox                  40    76
Deborah              Clearwaters             24    79
Deborah              Coleman                 26    97
Delilah              Smith                   18    83
Denise               Ream                    44    79
Derek                Davis                   38    82
Derek                Williams                73    78
Desiree              Mourad                  39    81
Devin                Bright                  71    68
Dexter               Owens                   32    90
Diana                Guardado                18    80
Dominik              Roberts                 38    83
Don                  Crum                    22    84
Donald               Fong                    60    74
Donald               Foster                  65    79
Donald               Schmidt                 25    96
Donna                Quattropani             19    82
Doug                 Frankel                 24    79
Doug                 Letterman               73    67
Doug                 Tornquist               66    67
Dovi                 Anderson                25    71
Dr.                  Alison Marshall         20    97
Drew                 Kleven                  29    91
Duc                  Manh Nguyen             30    83
Dylan                Hart                    46    78
Dylan                Sisson                  18    78
Eddy                 Mitchell                55    76
Edgar                Mitchell                24    71
Edgar                Robinson                47    75
Edgar                A. Ochoa                30    79
Edgar                Qui'ones                56    77
Edith                Mason                   60    68
Edward               Davis                   67    69
Edward               Payne                   33    86
Edward               Luong                   72    77
Edward               Meares                  49    72
Edwin                Chang                   48    73
Edwin                Fabian                  32    92
Elena                Pinderhughes            53    73
Elian                Foster                  65    70
Elian                Scott                   44    78
Eliot                Smyrl                   36    80
Elissa               Knight                  58    82
Ellalorraine         Greely                  33    79
Ellen                Dubin                   39    70
Elliot               Simons                  72    78
Elliott              Cattell                 31    76
Elyse                Willis                  35    78
Emily                Harris                  18    82
Emily                Murphy                  18    73
Emily                Phillips                21    90
Emily                Davis                   64    86
Emily                Sakamoto-Steidl         30    84
Emily                Weihrich                63    77
Emma                 Harper                  27    69
Emma                 Myers                   43    71
Emma                 Perry                   42    76
Emma                 Staniforth              73    70
Enrico               Casarosa                54    80
Eric                 Anderson                31    67
Eric                 Andraos                 54    69
Eric                 Bermender               56    68
Eric                 Byers                   35    78
Eric                 Pearson                 51    84
Eric                 Peden                   53    77
Eric                 Shepard                 30    78
Eric                 Wegener                 30    86
Erica                Milsom                  57    80
Erica                Simons                  26    82
Erik                 Anderson                68    85
Erika                Schmidt                 40    67
Erin                 Fitzgerald              29    97
Erin                 O'Neal                  20    94
Erinn                Kathryn Burke           32    84
Ernesto              Nemesio                 37    85
Ethan                Dean                    23    75
Ethan                Loh                     22    78
Eun-Mee              Ahn                     45    80
Eva                  Porter                  43    74
Evan                 Bonifacio               60    71
Evelyn               Carroll                 22    90
F.                   Sebastian Grassia       66    76
Falonte              D. Moore                67    74
F'lix                O. Santiago             59    73
Fernando             de Goes                 33    76
Finneas              O'Connell               36    83
Fiona                Ferguson                64    80
Fletcher             Sheridan                31    78
Florian              Hecht                   27    69
Florrie              Edwards                 50    79
Fran                 Gonz'lez Garc'a         66    77
Francesco            Matteo Olcese           45    73
Frank                Yung-Lian Tai           23    81
Freddie              Douglas                 18    68
Frederick            Baker                   19    78
Frederick            Evans                   43    88
Gabriela             Fischer                 26    86
Gairo                Cuevas                  32    95
Galyn                Susman                  56    82
Gary                 Bruins                  55    74
Geoffrey             Jarrett                 59    76
Geoffrey             Osika                   66    80
George               Campbell                50    67
Gerald               White                   72    83
Gerardo              Osorio                  51    78
Gerisa               Macale                  27    77
Giovannie            Espiritu                35    69
Glenn                Kasprzycki              63    81
Gordon               Cameron                 22    83
Grace                Adams                   35    91
Grace                Thompson                37    79
Grade                Oh                      66    77
Graham               Finley                  40    71
Graham               Gibson                  18    86
Grant                Gatzke                  56    71
Grayson              Villanueva              21    89
Greg                 Dykstra                 74    84
Greg                 Gladstone               35    87
Greg                 Snyder                  71    82
Gregory              Finch                   31    77
Gregory              Fletcher                51    70
Guilherme            Sauerbronn Jacinto      24    81
Guillaume            Chartier                35    81
Guyu                 Liang                   67    72
Hadley               Gannaway                62    78
Hailey               Cooper                  38    90
Haldean              Brown                   51    77
Hank                 Angeli                  22    74
Hannah               Chu                     63    76
Hayley               Iben                    19    78
Heather              Barnes                  67    69
Heather              Campbell                50    78
Heather              Clark                   30    90
Heather              Eisner                  20    84
Heidi                Holman                  34    80
Heidi                Stettner                31    85
Helen                Hawaz                   23    72
Henry                Chau                    69    69
Herman               Wong                    42    87
Hiroaki              Narita                  18    86
Hongyan              Yang                    36    76
Hosuk                Chang                   56    69
Hsiao                Liu                     18    89
Hsiao-Hsien          Aaron Lo                51    79
Huy                  Nguyen                  38    68
Hyein                Park                    34    74
Ian                  Hsieh                   41    78
Ian                  James Corlett           29    92
Ian                  Westcott                30    85
Iara                 Nemirovsky              54    76
Ivan                 Piesh                   50    77
Iv'n                 Mauricio Calder'n       50    78
J.                   Darion Cuevas           30    90
Jack                 Spencer                 67    73
Jack                 Cheng                   32    88
Jack                 Fisher                  19    88
Jack                 Hattori                 29    90
Jack                 Zhao                    36    81
Jaclyn               Simon                   40    87
Jacob                Cole                    44    71
Jacob                Braun                   38    81
Jacob                Brooks                  28    67
Jacob                Richards                38    86
Jacqueline           Brand                   45    83
Jaiden               Alexander McLeod        72    73
Jaime                Roe                     27    97
Jalise               Beamon                  23    68
Jamal                Moore                   29    81
James                Anderson                56    72
James                Carter                  27    84
James                Andereggen              24    98
James                Burgess                 68    69
James                Ford Murphy             57    67
James                Hayden                  45    70
James                Hong                    23    82
James                L. Jackson              63    76
James                Miller                  42    78
James                Spencer                 34    97
James                W. Brown                31    91
Jamie                Ryan                    23    85
Jamie                Woolf                   60    79
Jane                 Murphy                  24    68
Jane                 Snow Cassidy            69    83
Janel                Drewis                  29    81
Jaraed               Bello                   70    84
Jared                Counts                  28    68
Jared                Fong                    22    78
Jared                Gonzales                45    85
Jasmine              Derry                   46    78
Jasmine              S. Williams             56    78
Jason                Deamer                  68    71
Jason                Kim                     27    94
Jason                Maybaum                 20    80
Jasper               Randall                 40    69
Jay                  Carina                  36    75
Jay-Vincent          Jones                   52    84
Jeanette             Elizabeth Mckillop      51    84
Jeeyeon              Park                    27    77
Jeff                 Atmajian                40    73
Jeff                 Pidgeon                 32    86
Jenna                Calvao                  55    79
Jenna                Spurlock                31    86
Jenni                Olson                   36    75
Jenni                Tsoi                    62    67
Jennifer             Cullinan                61    76
Jennifer             Johnston                33    90
Jennifer             Leigh King              43    69
Jennifer             Rowekamp                23    74
Jennifer             Zaccaro                 33    80
Jenny                Moussa Spring           41    76
Jennylyn             Mercado Huynh           72    81
Jeremie              Talbot                  53    86
Jeremy               Birn                    22    92
Jeremy               Lazare                  34    87
Jeremy               Paton                   63    74
Jeremy               Slome                   72    73
Jesse                Hollander               44    75
Jessica              Guideri                 28    86
Jessica              Heidt                   63    73
Jessica              Kelly                   72    77
Jessica              Psy DeLacy              25    87
Jessica              Snipes                  65    71
Jessica              Torres                  27    91
Jessica              Wan                     21    86
Jie                  Ma                      55    76
Jill                 Heffley                 47    71
Jim                  Kennedy                 29    78
Jim                  Martin                  63    75
Jim                  Morris                  25    85
Jimmy                Tsai                    34    79
Joachim              De Deken                23    83
Joanna               Laurent                 43    88
Joanne               George                  68    80
Joao                 Montenegro              42    75
Jody                 Weinberg                38    75
John                 Bennett                 56    85
John                 Chun Chiu Lee           50    67
John                 Hazelton                60    68
John                 Henry Frankenhauser     42    75
John                 LeGrande                24    67
John                 Lockwood                18    81
John                 Loy                     34    67
John                 Roesch                  47    78
John                 Trauscht                59    81
John                 Warren                  40    87
Johnathan            Marcelo Gibbs           75    76
Jon                  Bryant                  30    90
Jon                  Kull                    34    75
Jon                  Lewis                   60    71
Jon                  Null                    67    75
Jonah                Blue Laird              19    85
Jonathan             Garson                  59    82
Jonathan             Hadden                  57    72
Jonathan             Hoffman                 58    75
Jonathan             Mateo Rodriguez         28    93
Jonathan             Pages                   69    75
Jonathan             Pytko                   24    84
Jonathan             Shade                   60    71
Jonathan             Vargo                   68    80
Jonathon             Stevens                 60    77
Joni                 Superticioso            41    74
Jordan               Hunt                    23    87
Jordan               Fisher                  67    78
Jordan               Rempel                  40    74
Jordi                O'ate Isal              18    88
Jose                 Richard Ignacio         36    85
Josefina             Vergara                 63    68
Josh                 Grant                   58    82
Josh                 Levi                    61    70
Josh                 Minor                   61    67
Josh                 West                    43    74
Joshua               Dai                     75    74
Joshua               Jenny                   45    75
Joshua               Mills                   75    81
Joyce                Turner                  45    71
Joyce                Lacey                   65    73
Jude                 Brownbill               22    87
Judith               Angulo                  49    80
Juei                 Chang                   27    76
Julia                Adams                   41    74
Julia                Jones                   41    68
Julia                Cho                     38    75
Julia                Newhide                 66    78
Julian               Murphy                  23    67
Julian               Myers                   56    73
Julian               Taylor                  31    78
Julie                Cho                     42    87
Julien               Schreyer                62    81
Juliet               Roth                    21    95
Julio                Quintero                67    71
Justin               Harris                  21    95
Kacy                 Naylor                  23    68
Karen                Han                     23    75
Karen                Huie                    19    93
Karen                Lucknavalai             36    69
Kate                 Cooper                  40    74
Kate                 Hansen-Birnbaum         58    85
Katherine            Sarafian                24    70
Kathleen             Cosby                   30    71
Katrin               Bratland                40    90
Kayla                D. Harriel              37    90
Keiko                Murayama                50    70
Kelci                Hahn                    20    82
Kellan               Davis                   34    87
Kellan               Hill                    23    92
Kellan               Rogers                  33    81
Kelly                Bonbright               62    75
Kelly                Juarez                  21    77
Kelly                Sinning                 27    71
Kelsey               Monken                  66    81
Kelvin               Harper                  22    95
Kenya                Randle                  64    77
Kevin                Douglas                 37    84
Kevin                Andrus                  20    78
Kevin                Buschiazzo              43    84
Kevin                Reher                   43    81
Kevin                Rose-Williams           56    76
Kheron               Jones-Kassing           48    72
Kiera                McAuliffe               26    78
Kiki                 Mei Kee Poh             57    87
Kim                  Diaz                    38    77
Kim                  Mai Guest               38    88
Kim                  Ross                    55    71
Kimberly             Patrick                 31    92
Kiri                 Hari                    52    71
Kirsten              Hill                    51    83
Kirsten              Ryan                    71    76
Kirsten              Yamaguchi               45    77
Koko                 Chou                    46    78
Kori                 Rae                     51    88
Krissy               Bailey                  29    75
Kristi               Gamble                  55    69
Kristifir            Klein                   18    96
Kristina             Ruud-Hewitt             58    68
Kristina             Truong                  54    78
Kristine             Alvarez Javier          35    79
Kristoffer           Neil Landes             39    79
Kristophe            Vergne                  20    79
Kureha               Yokoo                   31    81
Kurt                 Fleischer               53    84
Kyle                 Lovrien                 19    82
Kyle                 Roldan                  47    78
Kylie                Wijsmuller              25    68
La'sa                Barros                  49    77
Lan                  Tang                    41    86
Lara                 Wickes                  28    78
Larry                Mah                     30    79
Lars                 R. Damerow              22    68
Laura                Finell                  51    83
Laura                Hainke                  64    81
Laura                Meyer                   67    72
Laura                Phillips                26    82
Laura                Smith Roethe            25    78
Lauren               Davidson                63    70
Lauren               Harrold                 74    73
Lauren               Rodriguez-Gaylord       54    76
Lauren               Uyeda                   31    73
Laurie               Nguyen Kim              19    74
Lee                  Ras'                    70    72
Lee                  Unkrich                 55    80
Leif                 Pedersen                68    80
Leila                Chesloff                37    82
Lenny                Walker                  51    75
Leonardo             Evans                   34    82
Leonardo             Ko                      48    68
Les                  Watters                 24    88
Leslie               Law                     43    77
Leslie               Pao                     27    71
Lexi                 S. King                 28    79
Lika                 Miyake                  43    68
Lily                 Kelley                  29    92
Lily                 Phillips                23    76
Lily                 Poon Fong-Fong          37    77
Lily                 Sanfelippo              23    94
Lindsay              Andrus                  51    74
Lindsey              Collins                 51    85
Ling                 Hsu                     63    77
Ling                 Tu                      33    74
Lisa                 Chino                   36    80
Lisa                 Fletcher                25    81
Lisa                 Fotheringham            66    77
Liz                  Gazzano                 19    95
Lloyd                Bernberg                56    76
Logan                Hester                  31    82
Logan                Pearsall                46    85
Lois                 Banks                   48    83
Lori                 Tan Chinn               47    68
Louise               Smythe                  23    87
Luanne               Homzy                   39    84
Lucas                Alexander               67    73
Lucas                Glashoff                27    80
Lucia                Wright                  23    68
Lucy                 Reed                    50    72
Lucy                 Laliberte               64    70
Ludwig               G'ransson               72    72
Luke                 Morris                  28    77
Luke                 Cutler Elwood           46    71
Luke                 Maurer                  43    83
Luke                 Morgan                  37    75
Lydia                Montgomery              61    67
Lynda                Pakzad                  63    71
Lyon                 Liew                    65    76
Maddie               Ellis                   34    96
Maddix               Robinson                47    83
Madeline             Ormbrek                 63    70
Madeline             Sharafian               29    75
Maggie               McFarren                33    85
Mahyar               Abousaeedi              73    78
Mallory              Kohut                   55    69
Manuel               Zenon Rodriguez         51    84
Mara                 MacMahon                59    71
Marcia               Dickstein               43    75
Marco                Antonio Marquez         48    77
Marco                Castellanos             32    77
Marcos               Navarrete               26    68
Marguerite           K. Enright              21    87
Maria                Morgan                  45    76
Mariah               Thompson                27    76
Mariana              Denight                 19    88
Mariel               Sheets                  38    75
Mariko               Hoshi                   18    96
Marina               Capizzi                 65    75
Marissa              Durham                  43    75
Mark                 Dinicola                73    76
Mark                 Fernandez               46    72
Mark                 Hessler                 30    74
Mark                 Joseph                  72    83
Mark                 Manca                   44    78
Mark                 Meyer                   32    90
Mark                 Milla                   24    95
Mark                 Nielsen                 54    71
Mark                 Pananganan              53    77
Mark                 Piretti                 22    88
Mark                 Robertson               38    73
Mark                 VandeWettering          23    72
Markus               Kranzler                71    75
Marlena              Fecho                   32    93
Marlon               Castro                  51    77
Mary                 Smith                   31    89
Marylou              Jaso                    34    96
Masha                Ellsworth               23    71
Matt                 Elser                   70    70
Matt                 Walker                  74    76
Matt                 Wilson                  22    80
Matthew              Gagnebin                19    71
Matthew              Muhili Lindahl          31    90
Matthew              Sarubbi                 52    78
Matthias             Goerner                 20    98
Mattie               Brehm                   47    69
Maura                Turner                  61    78
Max                  Lloyd                   63    76
Max                  Morrison                42    85
Max                  Brace                   41    90
Max                  Rodriguez               36    95
May                  Pon                     65    81
Maya                 Magub                   49    80
Maya                 Tanaka                  24    75
McKay                Moore-Farley            46    71
Megan                Alderson                51    84
Melissa              Bernabei Morrison       51    77
Melissa              Woods                   22    91
Melody               Cisinski                44    72
Meredith             Crawford                30    95
Meredith             Moulton                 18    94
Mia                  Stapleton               20    89
Mia                  Tagano                  27    90
Michael              Agulnek                 23    90
Michael              Bidinger                71    67
Michael              Cabral                  22    90
Michael              Chia-Wei Chen           30    92
Michael              Daley                   39    71
Michael              Douglass, Jr.           72    80
Michael              Fong                    41    83
Michael              Galbraith               57    80
Michael              K. O'Brien              62    72
Michael              Lorenzen                35    91
Michael              Sauls                   36    79
Michael              Stewart Johnson         68    85
Michael              Stocker                 44    89
Michael              Wu                      68    77
Michael              Yates                   39    90
Michelle             Liu Chung               74    79
Michelle             Lopez                   33    98
Michelle             Simons                  25    97
Mike                 Cameron                 74    78
Mike                 Gessini                 61    81
Mike                 H. Mahony               57    68
Mike                 Jones                   54    76
Mike                 Stern                   36    89
Mike                 Valerio                 34    69
Miranda              Carroll                 28    91
Miranda              Douglas                 67    83
Miranda              Roberts                 27    88
Mitch                Kopelman                58    74
Mitra                Shahidi                 73    69
Molly                Glover                  37    93
Molly                Jones                   28    74
Molly                Speacht                 31    81
Momo                 LeBeau                  75    83
Monica               Sonand                  37    86
Morgan               Karadi                  22    86
Morgan               Miars                   44    77
Myra                 Gibson                  35    87
Nancy                Anaisodin Dinh          57    77
Nat                  McLaughlin              57    68
Natalie              Cunningham              18    80
Natalie              Leggett                 68    84
Natalie              Lyon                    18    82
Nathaniel            Smith                   28    90
Ned                  Russell                 25    82
Neil                 Helm                    31    86
Nelson               Bohol                   67    72
N'stor               Benito Fernandez        19    94
Ngawang              Samphel                 39    69
Nic                  Bishop                  25    75
Nicholas             C. Smith                33    88
Nicholas             Docter                  55    83
Nick                 Balian                  67    78
Nick                 Porcino                 54    67
Nico                 Abondolo                44    78
Nicole               Johnson                 73    78
Nicole               Lloyd                   41    73
Nicole               Paradis Grindle         71    73
Ni'o                 Ellington               37    70
Oliver               Walker                  37    90
Oliver               Meiseberg               73    81
Olivia               Carter                  45    72
Orion                Lee                     21    79
Osafo                Barker                  37    92
Otito                Greg-Obi                63    73
Owen                 Martin                  29    78
Patrick              Campbell                70    81
Patrick              Angell                  62    68
Patrick              James                   24    83
Patty                Bonfilio                58    70
Paul                 Chideya                 20    88
Paul                 Francisco Diaz          34    88
Paul                 Kubala                  38    84
Paula                Assadourian             24    71
Pauline              Chu                     48    69
Pedro                Eustache                61    86
Per                  Christensen             32    82
Pete                 Anthony                 52    80
Pete                 Docter                  28    84
Peter                Nye                     35    94
Peter                Plackowski              50    81
Peter                Roe                     41    77
Peter                Rotter                  21    76
Peter                Schreiber               57    70
Peter                Sohn                    69    69
Peter                Ward                    20    86
Philip               Graham                  30    70
Philip               Metschan                75    80
Phillip              Levy                    37    82
Phyllis              Ting                    70    81
Prescila             de Borthole Vertamatti    25    87
Rachael              Bigelow                 58    75
Rachel               Agana                   53    75
Rachel               H. Slansky              70    72
Rachel               Tharp                   65    79
Raja                 Bala                    63    82
Rami                 Kasim                   48    80
Raquel               Bordin                  19    94
Ray                  Strickler               28    93
Raymond              V. Wong                 18    74
Rebecca              Holmes                  62    83
Rebecca              Warren                  42    79
Reema                Batnagar                66    73
Reid                 Casey                   34    73
Ren                  Klyce                   75    75
Renee                Tam                     33    78
Ricardo              Nadu                    64    79
Ricardo              Pacheco Solano          33    68
Richard              Cogger                  41    68
Richard              Guo                     69    78
Richard              Kirk                    42    78
Richard              Yoshioka                55    79
Rob                  Cassie                  29    94
Rob                  Fusari                  24    74
Rob                  Kinelski                32    81
Robb                 Donovan                 56    67
Robb                 Gibbs                   32    74
Robbin               Huntingdale             52    69
Robert               Gray                    58    70
Robert               Brophy                  45    75
Robert               Graf                    61    75
Robert               Hamrick                 28    91
Robert               Kinkead                 68    68
Robert               Kosai                   20    76
Roberto              Cani                    44    80
Robin                Leigh                   21    85
Robyn                Rindge                  52    84
Roger                Gould                   58    71
Roger                Juli' Satorra           32    82
Roland               Robinson                21    89
Rona                 Francisco Li            40    89
Rosalie              Chiang                  33    87
Rosana               Kot                     52    80
Rose                 Corrigan                48    70
Rosie                Cole                    39    85
Rosie                Wacha                   60    71
Royce                Wesley                  56    79
Rubie                Smith                   68    69
Ryan                 Adams                   27    95
Ryan                 Hall                    55    77
Ryan                 Bujnowicz               31    82
Ryan                 Darkes                  41    84
Ryan                 Michero                 63    81
Samantha             Benedetti               43    68
Samuel               Le                      54    72
Samuel               Lehmer                  53    70
Sandra               Karpman                 64    81
Sandra               Oh                      60    77
Sara                 Hanlan                  55    79
Sara                 Mann                    26    72
Sara                 Sharp                   67    85
Sarah                Tucker                  73    73
Sarah                Boggs                   64    84
Sarah                Dunham                  67    70
Sarah                Forcier                 50    67
Sarah                Hutchinson              38    79
Sarah                Jo Helton               55    69
Sarah                Thornblade              53    81
Saunder              Choi                    36    73
Sayoko               Wu                      65    67
Scott                Curtis                  18    84
Scott                Morse                   43    70
Scott                Tilley                  24    73
Sean                 T. Krishnan             37    69
Searit               Kahsay Huluf            66    80
Selen                Atiker                  70    71
Serena               Dettman                 36    96
Seth                 Freeman                 56    69
Seth                 Van Booven              64    87
Shalini              Vijayan                 71    78
Shannon              Wood                    64    80
Shari                Villarde                28    83
Sharmila             Guha Lash               63    75
Sharon               Dovas                   40    68
Shaun                Chacko                  51    83
Shawn                Mann                    29    91
Shawn                Zhou                    54    73
Shelley              Roden                   24    85
Shiho                Tilley                  56    85
Shubha               Jagannatha              64    82
Sienna               Spencer                 36    80
Sonoko               Konishi                 38    75
Sophia               Bailey                  50    84
Sophia               Mitchell                61    73
Sophia               Borich                  33    96
Spike                Fowler                  39    86
Staphon              Arnold                  18    86
Stefan               Gronsky                 44    82
Stefan               Schulze                 75    68
Stephanie            Gee Galaviz             33    90
Stephanie            Kelly                   34    87
Stephanie            Pham Aganon             24    88
Stephen              Friedman                53    72
Stephen              Kujala                  38    86
