first_name,last_name,age,marital_status,speak_1,listen_1,read_1,write_1,all_2,education,work_experience,arranged_employment,adaptability_spouse_language,adaptability_spouse_education,adaptability_spouse_work,adaptability_you_education,adaptability_you_work,adaptability_you_employment,adaptability_relatives
Alexander,Thompson,67,Single,10,7,7,8,no,Secondary school (high school diploma),13,yes,no,no,no,yes,no,no,yes
Alexandra,Zalucky,36,Single,10,9,9,7,no,University degree at the Master’s level,11,yes,no,no,no,no,yes,yes,no
Alexandro,Campos,21,Married,9,9,7,7,no,"One-year degree, diploma or certificate",12,no,no,no,no,yes,yes,no,yes
Alexia,Carroll,57,Married,10,10,8,8,yes,"Two-year degree, diploma or certificate",3,no,yes,no,no,yes,yes,no,yes
Alexia,Lloyd,70,Single,10,9,7,8,no,"One-year degree, diploma or certificate",4,no,no,no,no,no,no,yes,no
Alexis,Lombardi Nelson,68,Married,10,10,8,8,no,Bachelor’s degree or other programs (three or more years),0,yes,no,no,no,yes,no,no,no
Alfonso,Caparrini,22,Single,10,10,10,9,yes,"Two or more certificates, diplomas, or degrees",7,yes,no,no,no,no,yes,yes,yes
Alicea,Lin Engquist,52,Single,7,9,7,10,yes,"Two-year degree, diploma or certificate",11,yes,no,no,no,no,yes,no,yes
Alisa,Walker,75,Married,9,9,8,10,yes,"One-year degree, diploma or certificate",5,no,yes,no,no,no,yes,yes,yes
Alison,Fernandez,41,Married,9,10,9,8,no,Bachelor’s degree or other programs (three or more years),10,no,no,no,no,yes,yes,no,no
Alison,Leaf,19,Married,10,8,7,8,no,Secondary school (high school diploma),1,yes,no,no,no,no,yes,no,yes
Alissa,Hunt,20,Single,9,10,10,9,yes,Bachelor’s degree or other programs (three or more years),15,no,no,no,no,yes,yes,no,no
Aliyah,Nissim,70,Married,7,10,7,8,no,Secondary school (high school diploma),10,yes,no,no,no,no,no,yes,no
Allen,Fogle,66,Single,7,8,9,9,yes,University degree at the Doctoral (PhD) level,14,no,no,no,no,no,yes,no,yes
Allison,Bianchi,24,Married,10,8,10,9,yes,Secondary school (high school diploma),3,yes,no,no,no,yes,no,yes,yes
Allison,Parker,30,Married,10,7,7,7,yes,Secondary school (high school diploma),6,yes,no,no,no,yes,yes,no,no
Allison,Rutland,48,Married,9,7,10,9,no,Secondary school (high school diploma),9,no,yes,no,no,yes,no,yes,no
Alma,Fernandez,31,Single,8,10,8,9,no,"One-year degree, diploma or certificate",7,no,no,no,no,yes,yes,yes,yes
Alon,Tamir Winterstein,51,Married,9,9,8,9,no,Bachelor’s degree or other programs (three or more years),9,no,yes,no,no,yes,yes,no,no
Alvin,Chea,55,Married,10,7,7,9,yes,Bachelor’s degree or other programs (three or more years),12,no,yes,no,no,yes,yes,no,no
Aly,Fidiam-Smith,41,Single,8,7,9,9,no,Professional degree needed to practice in a licensed profession,2,yes,no,no,no,yes,no,no,no
Alyssa,Del Vigna,38,Married,9,7,9,8,no,University degree at the Doctoral (PhD) level,4,no,no,no,no,no,yes,no,yes
Alyssa,Lee,57,Married,7,9,8,7,no,"Two or more certificates, diplomas, or degrees",8,no,no,no,no,no,yes,yes,yes
Alyssa,Mar,47,Single,10,8,9,9,no,University degree at the Master’s level,9,yes,no,no,no,no,yes,yes,yes
Alyssa,Minko,51,Single,9,9,10,10,yes,University degree at the Doctoral (PhD) level,1,yes,no,no,no,yes,yes,yes,no
Alyssa,Murphy,42,Single,7,8,7,10,yes,Professional degree needed to practice in a licensed profession,5,yes,no,no,no,yes,yes,yes,yes
Alyssa,Park,48,Single,8,10,10,9,yes,"Two or more certificates, diplomas, or degrees",6,yes,no,no,no,no,yes,no,no
Alyssa,Promessi,30,Married,10,9,10,8,no,Secondary school (high school diploma),9,yes,yes,no,no,no,yes,yes,yes
Amanda,Goodpaster,28,Single,8,10,10,8,no,Professional degree needed to practice in a licensed profession,3,yes,no,no,no,no,yes,no,no
Amanda,Wagner,29,Married,8,10,10,7,no,Bachelor’s degree or other programs (three or more years),0,no,yes,no,no,no,yes,no,yes
Amandeep,Singh,32,Single,8,7,8,9,yes,"Two or more certificates, diplomas, or degrees",13,yes,no,no,no,no,yes,yes,no
Amelia,Williams,62,Single,10,9,7,9,no,Bachelor’s degree or other programs (three or more years),11,yes,no,no,no,no,yes,yes,no
Amit,Ganapati Baadkar,51,Single,10,9,10,10,no,University degree at the Doctoral (PhD) level,10,no,no,no,no,no,yes,yes,no
Amy,Armstrong,54,Married,9,7,7,10,no,Bachelor’s degree or other programs (three or more years),7,no,yes,no,no,yes,yes,yes,yes
Amy,Perry,18,Single,10,9,10,9,no,University degree at the Doctoral (PhD) level,3,no,no,no,no,no,no,no,no
Amy,Ellenwood,64,Single,9,9,7,7,no,Secondary school (high school diploma),8,no,no,no,no,no,no,yes,no
Amy,H. Chen,74,Married,8,8,9,10,no,University degree at the Master’s level,15,no,yes,no,no,no,yes,no,no
Amy,Hershberger,45,Married,10,9,10,9,no,Professional degree needed to practice in a licensed profession,13,no,yes,no,no,no,no,no,yes
Ana,Gabriela Lacaze,40,Married,7,9,9,10,no,Professional degree needed to practice in a licensed profession,13,no,no,no,no,no,yes,no,no
Ana,Landauer,70,Married,10,9,7,9,no,Bachelor’s degree or other programs (three or more years),5,yes,yes,no,no,yes,no,no,no
Ana,Ramírez Gonzáles,45,Single,9,10,8,9,yes,"One-year degree, diploma or certificate",15,no,no,no,no,yes,yes,yes,yes
Andie,Sanchez,22,Single,10,10,9,9,no,University degree at the Master’s level,6,no,no,no,no,yes,no,no,yes
Andrea,Aleman,65,Married,8,9,9,10,yes,"Two or more certificates, diplomas, or degrees",3,no,yes,no,no,no,yes,no,yes
Andrea,Goh,53,Married,8,8,9,9,yes,"Two-year degree, diploma or certificate",2,yes,yes,no,no,no,no,no,yes
Andrea,Warren,27,Single,7,10,10,7,yes,"Two or more certificates, diplomas, or degrees",2,no,no,no,no,no,no,yes,yes
Andrea,Zomorodian,36,Married,8,8,9,10,no,Professional degree needed to practice in a licensed profession,4,no,yes,no,no,no,yes,yes,no
Andreas,Dutz,60,Married,8,9,7,7,yes,University degree at the Master’s level,15,no,no,no,no,yes,no,yes,no
Andreas,Procopiou,55,Married,7,10,8,7,yes,"Two-year degree, diploma or certificate",13,yes,no,no,no,no,yes,no,yes
Andrew,Ryan,20,Married,9,9,9,8,yes,"Two or more certificates, diplomas, or degrees",12,no,yes,no,no,yes,no,no,no
Andrew,Bain,65,Single,10,7,9,9,yes,University degree at the Doctoral (PhD) level,8,no,no,no,no,no,no,yes,no
Andrew,Beall,61,Single,10,10,8,10,no,University degree at the Master’s level,1,yes,no,no,no,no,no,yes,no
Andrew,Butts,41,Married,7,7,10,7,yes,Secondary school (high school diploma),13,yes,no,no,no,no,yes,no,no
Andrew,Duckles,72,Married,7,9,9,7,yes,University degree at the Doctoral (PhD) level,2,no,yes,no,no,no,no,no,no
Andrew,Jimenez,43,Married,8,8,7,10,yes,University degree at the Doctoral (PhD) level,2,yes,no,no,no,no,no,yes,yes
Andrew,Kinney,74,Married,9,7,7,8,yes,Bachelor’s degree or other programs (three or more years),10,yes,no,no,no,yes,no,no,no
Andrew,MacRae,50,Married,7,9,7,10,no,Secondary school (high school diploma),15,yes,yes,no,no,no,yes,yes,no
Andrew,Page,62,Single,9,10,9,8,no,University degree at the Doctoral (PhD) level,14,yes,no,no,no,no,no,no,no
Andrew,Perez,45,Single,9,9,8,8,yes,Professional degree needed to practice in a licensed profession,7,no,no,no,no,yes,no,no,yes
Andrew,Pienaar,30,Single,7,7,9,10,yes,"Two-year degree, diploma or certificate",2,no,no,no,no,no,yes,no,yes
Andrew,Stanton,20,Married,9,9,10,10,yes,"One-year degree, diploma or certificate",11,yes,yes,no,no,yes,no,yes,no
Andy,Dat Mai,18,Single,7,8,8,9,no,"One-year degree, diploma or certificate",4,yes,no,no,no,yes,yes,yes,no
Andy,Dreyfus,54,Married,7,7,9,8,no,Bachelor’s degree or other programs (three or more years),4,no,yes,no,no,yes,yes,no,yes
Andy,Grisdale,62,Married,9,8,9,9,no,Bachelor’s degree or other programs (three or more years),14,no,no,no,no,yes,no,yes,yes
Andy,Lin,46,Married,7,10,8,10,no,University degree at the Master’s level,14,no,yes,no,no,no,no,yes,no
Andy,Yu,51,Single,8,9,7,7,yes,University degree at the Master’s level,9,no,no,no,no,yes,no,yes,yes
Angela,Marie Mistretta,29,Married,10,7,10,8,yes,Secondary school (high school diploma),6,no,no,no,no,no,yes,no,yes
Angus,MacLane,52,Single,10,8,7,9,no,University degree at the Master’s level,13,no,no,no,no,no,no,no,yes
Anna,Cameron,36,Married,9,10,9,7,yes,"Two or more certificates, diplomas, or degrees",6,yes,yes,no,no,yes,no,no,yes
Anna,Wolitzky,68,Single,7,9,8,8,no,Professional degree needed to practice in a licensed profession,2,no,no,no,no,yes,yes,yes,no
Annabella,Morrison,62,Single,7,9,7,7,no,"One-year degree, diploma or certificate",7,no,no,no,no,yes,yes,no,yes
Anne,Pia,53,Single,9,7,8,8,yes,University degree at the Master’s level,0,yes,no,no,no,yes,no,no,no
Annette,Wang,21,Single,10,9,9,10,yes,Bachelor’s degree or other programs (three or more years),12,no,no,no,no,yes,no,no,no
Anthony,A. Apodaca,26,Married,9,7,10,10,yes,Professional degree needed to practice in a licensed profession,15,yes,yes,no,no,yes,yes,no,no
Anthony,Baldino,61,Single,9,10,10,9,no,Bachelor’s degree or other programs (three or more years),5,yes,no,no,no,no,no,yes,yes
Anthony,Muscarella,25,Single,7,8,7,7,yes,Secondary school (high school diploma),3,yes,no,no,no,no,yes,yes,no
Anthony,Parnther,58,Single,8,9,10,10,no,"One-year degree, diploma or certificate",8,no,no,no,no,yes,yes,yes,yes
Antony,Wells,53,Single,7,8,9,8,no,Bachelor’s degree or other programs (three or more years),3,yes,no,no,no,no,no,yes,yes
April,Foster,42,Married,7,7,9,9,yes,"One-year degree, diploma or certificate",3,no,no,no,no,yes,yes,no,yes
Ariela,Nurko Federov,24,Married,8,10,7,10,no,Professional degree needed to practice in a licensed profession,15,no,no,no,no,yes,yes,no,yes
Arif,S. Kinchen,66,Single,10,8,10,10,no,"Two or more certificates, diplomas, or degrees",4,no,no,no,no,yes,no,no,no
Arik,Ehle,22,Married,7,8,8,10,yes,Secondary school (high school diploma),12,yes,yes,no,no,yes,no,no,no
Arjun,Rihan,23,Married,10,7,9,9,yes,University degree at the Master’s level,7,no,yes,no,no,yes,no,no,no
Arlene,Chan,33,Married,8,9,10,10,no,Professional degree needed to practice in a licensed profession,0,no,no,no,no,no,yes,no,yes
Armando,Gutierrez Gonzalez,70,Single,10,9,10,10,no,Professional degree needed to practice in a licensed profession,3,yes,no,no,no,no,yes,no,no
Arnold,Grant,51,Married,10,7,7,8,yes,University degree at the Doctoral (PhD) level,11,yes,yes,no,no,yes,no,no,yes
Arnold,Wells,63,Married,9,7,10,10,yes,Professional degree needed to practice in a licensed profession,3,yes,no,no,no,yes,yes,yes,no
Arnold,Moon,55,Married,10,8,8,8,no,Secondary school (high school diploma),4,no,yes,no,no,no,no,yes,yes
Artemis,Snow,45,Single,10,9,7,9,no,"Two-year degree, diploma or certificate",4,no,no,no,no,no,yes,yes,no
Arthur,Mason,19,Married,8,9,9,7,yes,Secondary school (high school diploma),11,yes,yes,no,no,yes,no,yes,no
Arturo,Aguilar,29,Married,7,8,9,10,no,"Two or more certificates, diplomas, or degrees",8,yes,no,no,no,no,no,no,yes
Athena,Xenakis,31,Married,10,9,7,10,yes,"Two or more certificates, diplomas, or degrees",0,yes,no,no,no,no,yes,no,yes
Audrey,Wong,36,Married,7,8,7,7,yes,Secondary school (high school diploma),7,no,yes,no,no,yes,yes,no,yes
Aurica,Hayes,66,Married,9,9,9,9,no,"One-year degree, diploma or certificate",5,yes,no,no,no,no,no,yes,yes
Ava,Morse,63,Married,9,7,9,10,yes,Bachelor’s degree or other programs (three or more years),3,yes,no,no,no,no,no,no,no
Axel,Geddes,33,Married,8,9,10,9,no,"Two or more certificates, diplomas, or degrees",7,no,yes,no,no,yes,no,yes,yes
Barney,Jones,49,Single,9,9,8,7,yes,Professional degree needed to practice in a licensed profession,5,yes,no,no,no,yes,yes,no,yes
Bayani,Inclano,74,Single,8,10,7,10,yes,Professional degree needed to practice in a licensed profession,2,yes,no,no,no,yes,yes,no,no
Becki,Rocha Tower,68,Married,10,7,7,9,yes,Secondary school (high school diploma),0,yes,yes,no,no,no,no,yes,no
BeiBei,Monter,28,Single,7,9,7,10,no,Secondary school (high school diploma),11,yes,no,no,no,yes,yes,yes,yes
Belinda,Elliott,47,Single,8,7,8,9,yes,"One-year degree, diploma or certificate",11,no,no,no,no,no,yes,yes,yes
Belinda,Walker,40,Married,8,9,10,7,yes,"Two or more certificates, diplomas, or degrees",15,no,yes,no,no,no,yes,no,no
Ben,Han-Wei Lin,70,Single,9,10,7,8,no,University degree at the Doctoral (PhD) level,5,no,no,no,no,no,no,yes,no
Ben,Jordan,70,Single,8,7,10,7,yes,"One-year degree, diploma or certificate",9,yes,no,no,no,no,no,yes,no
Ben,Lash,23,Married,9,9,7,9,yes,Professional degree needed to practice in a licensed profession,6,yes,no,no,no,no,no,yes,yes
Ben,Rush,30,Married,10,10,10,9,no,"Two or more certificates, diplomas, or degrees",6,no,yes,no,no,yes,no,no,yes
Benjamin,Jacobson,21,Married,8,7,7,9,yes,University degree at the Master’s level,5,no,yes,no,no,no,yes,no,no
Benjamin,Plessala,45,Married,10,9,10,7,no,Professional degree needed to practice in a licensed profession,7,yes,no,no,no,no,yes,yes,no
Benjamin,Po An Su,37,Married,10,8,8,7,no,University degree at the Master’s level,11,no,yes,no,no,yes,no,yes,no
Benjamin,Valic,71,Married,9,9,7,8,yes,Professional degree needed to practice in a licensed profession,14,no,yes,no,no,yes,no,no,yes
Beril,Pisgin-Saglam,61,Single,8,9,8,9,yes,Professional degree needed to practice in a licensed profession,14,no,no,no,no,yes,yes,yes,yes
Bert,Berry,62,Married,10,8,7,9,yes,University degree at the Master’s level,4,no,yes,no,no,yes,no,yes,yes
Bess,Daubenmire,52,Single,9,10,7,10,no,University degree at the Doctoral (PhD) level,8,yes,no,no,no,no,yes,no,yes
Beth,David,40,Married,9,7,7,8,yes,Professional degree needed to practice in a licensed profession,0,yes,yes,no,no,no,yes,no,no
Beth,Sasseen,70,Married,9,7,9,9,yes,Professional degree needed to practice in a licensed profession,2,no,yes,no,no,no,yes,no,no
Beth,Sullivan,52,Single,8,10,9,9,yes,University degree at the Doctoral (PhD) level,3,no,no,no,no,no,yes,no,no
Bethany,Jane Hanson,41,Single,8,8,10,8,yes,University degree at the Doctoral (PhD) level,10,yes,no,no,no,yes,no,yes,yes
Beyoncé,Knowles,67,Single,8,9,9,9,yes,Professional degree needed to practice in a licensed profession,5,yes,no,no,no,yes,no,yes,no
Bill,Presing,56,Married,9,9,10,10,yes,Secondary school (high school diploma),10,no,yes,no,no,yes,no,no,yes
Bill,Reichenbach,49,Married,9,7,8,8,no,University degree at the Master’s level,4,yes,no,no,no,yes,no,yes,yes
Bill,Shea,37,Single,9,10,10,7,yes,Bachelor’s degree or other programs (three or more years),0,yes,no,no,no,yes,yes,yes,no
Bill,Sheffler,62,Married,7,8,10,8,yes,University degree at the Master’s level,0,no,no,no,no,yes,no,no,yes
Billie,Eilish,34,Married,8,10,10,9,no,Professional degree needed to practice in a licensed profession,13,no,no,no,no,no,no,yes,no
Bing,Chen,55,Married,10,9,10,8,no,Professional degree needed to practice in a licensed profession,8,no,no,no,no,no,yes,yes,yes
Blake,Henderson,42,Single,9,9,8,10,yes,"One-year degree, diploma or certificate",15,yes,no,no,no,no,yes,no,no
Blake,Richardson,60,Married,7,9,7,9,yes,Secondary school (high school diploma),8,no,yes,no,no,yes,no,no,no
Bob,Morgan,35,Married,7,10,9,8,no,University degree at the Master’s level,12,yes,no,no,no,no,no,yes,no
Bob,Pauley,63,Married,7,7,7,8,no,"Two or more certificates, diplomas, or degrees",5,yes,yes,no,no,no,yes,no,yes
Bob,Peterson,61,Single,9,7,9,8,no,University degree at the Master’s level,12,no,no,no,no,yes,no,yes,yes
Bob,Whitehill,66,Married,10,10,8,9,yes,"One-year degree, diploma or certificate",6,yes,yes,no,no,yes,yes,yes,no
Bobby,Podesta,50,Married,10,8,7,9,no,"Two-year degree, diploma or certificate",1,no,yes,no,no,yes,no,no,yes
Brad,Robinson,33,Single,8,7,10,7,no,"Two or more certificates, diplomas, or degrees",14,no,no,no,no,yes,yes,yes,no
Brad,Winemiller,35,Single,8,8,10,10,no,"Two or more certificates, diplomas, or degrees",2,yes,no,no,no,no,yes,no,no
Brandon,Montell,65,Married,8,10,10,10,no,"One-year degree, diploma or certificate",3,no,no,no,no,yes,no,no,no
Breck,Alverson,20,Married,8,10,10,7,no,Secondary school (high school diploma),15,yes,no,no,no,yes,no,yes,no
Bree,Jenkins,55,Single,7,10,7,8,yes,"Two-year degree, diploma or certificate",14,no,no,no,no,no,yes,yes,yes
Brenda,Lin Zhang,52,Married,7,9,8,8,yes,"One-year degree, diploma or certificate",12,yes,no,no,no,no,yes,no,yes
Brendan,Beesley,73,Single,8,10,7,9,yes,University degree at the Doctoral (PhD) level,12,no,no,no,no,yes,no,no,yes
Brennan,Mitchell,68,Married,10,9,8,7,yes,Secondary school (high school diploma),13,no,yes,no,no,no,no,no,yes
Brent,Dienst,65,Single,7,9,8,10,no,Bachelor’s degree or other programs (three or more years),12,no,no,no,no,no,yes,no,yes
Breonna,Carter,56,Married,8,7,10,10,yes,"One-year degree, diploma or certificate",7,yes,yes,no,no,no,yes,no,no
Bret,Parker,63,Married,8,7,10,7,yes,Professional degree needed to practice in a licensed profession,15,no,yes,no,no,no,yes,no,no
Brett,Coderre,60,Single,8,10,7,9,no,"Two-year degree, diploma or certificate",9,no,no,no,no,yes,yes,no,no
Brett,Levin,72,Married,7,10,9,10,no,"One-year degree, diploma or certificate",11,no,yes,no,no,no,yes,no,no
Brian,A. Perry,69,Single,7,7,9,9,yes,University degree at the Master’s level,4,no,no,no,no,no,yes,yes,no
Brian,Bair,56,Married,7,10,7,8,yes,University degree at the Master’s level,3,no,no,no,no,no,yes,no,yes
Brian,Fee,53,Single,7,10,8,7,no,Secondary school (high school diploma),10,yes,no,no,no,yes,yes,no,no
Brian,Kalin O'Connell,42,Single,10,10,9,7,yes,"One-year degree, diploma or certificate",0,no,no,no,no,no,no,yes,no
Brian,Kilgore,74,Married,10,7,8,8,yes,"Two-year degree, diploma or certificate",7,yes,yes,no,no,no,no,no,yes
Brian,Nemes,73,Married,7,10,7,8,no,"Two-year degree, diploma or certificate",12,no,no,no,no,no,no,yes,yes
Brian,Rankin,50,Married,10,9,8,9,no,"One-year degree, diploma or certificate",15,no,yes,no,no,yes,no,no,yes
Brian,Tanaka,36,Single,9,9,10,9,no,University degree at the Master’s level,11,no,no,no,no,no,no,no,no
Brian,Torres,57,Married,9,7,8,7,no,"One-year degree, diploma or certificate",0,yes,yes,no,no,yes,no,yes,yes
Brian,Vibberts,72,Married,8,10,9,9,no,Professional degree needed to practice in a licensed profession,2,no,no,no,no,yes,no,no,no
Briana,Lee,54,Single,10,10,10,8,yes,University degree at the Master’s level,6,no,no,no,no,no,no,no,yes
Brianna,Chapman,44,Single,10,10,10,9,yes,"One-year degree, diploma or certificate",8,no,no,no,no,yes,yes,no,no
Brianna,Murphy,50,Married,9,10,8,10,no,Secondary school (high school diploma),8,yes,no,no,no,yes,yes,no,no
Brianne,Moseley,42,Single,9,10,8,7,yes,Professional degree needed to practice in a licensed profession,0,yes,no,no,no,no,no,no,no
Britney,Best,43,Married,9,7,9,10,yes,Bachelor’s degree or other programs (three or more years),13,yes,yes,no,no,yes,no,yes,no
Britta,Wilson,66,Single,7,8,10,9,no,Professional degree needed to practice in a licensed profession,6,yes,no,no,no,yes,no,no,no
Brittany,Plung,47,Single,8,9,9,9,yes,"Two-year degree, diploma or certificate",10,no,no,no,no,yes,no,yes,yes
Bruce,Craig,62,Married,10,8,10,10,yes,University degree at the Doctoral (PhD) level,12,yes,no,no,no,no,yes,no,yes
Bruce,Parker,71,Single,7,10,10,10,yes,Bachelor’s degree or other programs (three or more years),3,no,no,no,no,no,no,no,no
Bruce,Richards,18,Married,10,10,7,7,yes,"One-year degree, diploma or certificate",1,no,no,no,no,yes,no,yes,no
Bruce,Wilson,67,Married,8,7,9,10,no,Secondary school (high school diploma),7,no,yes,no,no,yes,yes,yes,no
Bruce,Dukov,64,Single,10,9,10,7,no,University degree at the Master’s level,5,yes,no,no,no,yes,yes,yes,yes
Bruce,Kuei,20,Single,10,8,7,7,no,Bachelor’s degree or other programs (three or more years),12,no,no,no,no,no,yes,no,yes
Bruna,Moniz Berford,49,Single,8,10,8,7,yes,"Two or more certificates, diplomas, or degrees",4,no,no,no,no,no,yes,no,no
Burton,Siu,24,Married,8,7,8,7,no,University degree at the Master’s level,9,yes,no,no,no,no,no,no,yes
Byron,Bashforth,18,Single,10,9,8,10,no,"Two or more certificates, diplomas, or degrees",7,no,no,no,no,no,yes,yes,yes
Caleb,Jeon,20,Single,10,8,9,9,yes,"Two or more certificates, diplomas, or degrees",11,no,no,no,no,no,no,no,no
Cameron,Miyasaki,71,Married,9,8,10,7,no,"One-year degree, diploma or certificate",4,no,no,no,no,no,yes,yes,no
Camila,Holmes,75,Married,10,9,8,8,no,Bachelor’s degree or other programs (three or more years),2,no,no,no,no,yes,yes,no,no
Camila,Johnson,59,Married,10,9,8,7,yes,"One-year degree, diploma or certificate",8,no,yes,no,no,no,yes,no,no
Candace,Magaña,32,Married,9,8,8,8,yes,University degree at the Doctoral (PhD) level,4,no,no,no,no,no,yes,no,yes
Capri,Oliver,27,Single,7,8,8,7,yes,"One-year degree, diploma or certificate",4,yes,no,no,no,yes,no,no,no
Carina,Edwards,53,Single,7,9,9,8,no,"One-year degree, diploma or certificate",9,no,no,no,no,no,yes,yes,yes
Carina,Turner,69,Married,7,7,10,7,no,Bachelor’s degree or other programs (three or more years),11,no,no,no,no,no,no,no,yes
Carl,Cole,47,Single,9,9,8,7,yes,Professional degree needed to practice in a licensed profession,12,no,no,no,no,no,yes,no,yes
Carl,Elliott,43,Single,8,8,10,8,no,Bachelor’s degree or other programs (three or more years),13,no,no,no,no,yes,no,yes,no
Carl,Ellis,56,Married,7,8,10,7,no,University degree at the Master’s level,7,no,yes,no,no,yes,yes,no,no
Carl,Harper,32,Single,10,7,10,8,yes,Bachelor’s degree or other programs (three or more years),4,yes,no,no,no,yes,yes,yes,yes
